_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
8723,29440,2541,Washroom Facility,None,Washroom Building,None,HANLAN'S POINT PARK WASHROOM AND SHELTER - BUILDING 3
8724,29441,2541,Washroom Facility,None,Washroom Building,None,HANLAN'S POINT PARK GIBRALTAR POINT WASHROOM - BUILDING 12
8725,29441,2541,Changeroom Facility,None,Changeroom Building,None,HANLAN'S POINT PARK GIBRALTAR POINT WASHROOM - BUILDING 12
8726,29442,2541,Washroom Facility,None,Washroom Building,None,HANLAN'S POINT PARK WASHROOM AND SHELTER - BUILDING 8
8727,40750,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  1)
8728,40751,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  2)
8729,40752,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  3)
8730,40753,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  4)
8731,40754,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  5)
8732,40755,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  6)
8733,40756,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  7)
8734,40757,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  8)
8735,40758,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL (  9)
8736,40759,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL ( 10)
8737,40760,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL ( 11)
